순위,제목,감독,한국내 배급사,개봉일,관객수,기타
1,《명량》,김한민,CJ E&M,2014-07-30,"17,615,590",영화진흥위원회 발권통계 기준
2,《극한직업》,이병헌,CJ엔터테인먼트,2019-01-23,"16,264,984",영화진흥위원회 발권통계 기준
3,《신과함께: 죄와 벌》,김용화,롯데엔터테인먼트,2017-12-20,"14,411,662",영화진흥위원회 발권통계 기준
4,《국제시장》,윤제균,CJ E&M,2014-12-17,"14,263,332",영화진흥위원회 발권통계 기준
5,《어벤져스: 엔드게임》,루소 형제,월트디즈니컴퍼니코리아,2019-04-24,"13,977,602",영화진흥위원회 발권통계 기준
6,《겨울왕국 2》,크리스 벅 제니퍼 리,월트디즈니컴퍼니코리아,2019-11-21,"13,747,792",영화진흥위원회 발권통계 기준
7,《베테랑》,류승완,CJ E&M,2015-08-05,"13,414,372",영화진흥위원회 발권통계 기준
8,《아바타》,제임스 캐머런,이십세기폭스코리아,2009-12-17,"13,338,863",영화진흥위원회 공식통계 기준
8,《도둑들》,최동훈,쇼박스,2012-07-25,"12,984,143",영화진흥위원회 발권통계 기준
9,《7번방의 선물》,이환경,넥스트엔터테인먼트월드,2013-01-23,"12,811,488",영화진흥위원회 발권통계 기준
10,《암살》,최동훈,쇼박스,2015-07-22,"12,706,819",영화진흥위원회 발권통계 기준
11,《알라딘》,가이 리치,월트디즈니컴퍼니코리아,2019-05-23,"12,551,371",영화진흥위원회 발권통계 기준
12,"《광해, 왕이 된 남자》",추창민,CJ E&M,2012-09-13,"12,324,002",영화진흥위원회 발권통계 기준
13,《신과함께: 인과 연》,김용화,롯데엔터테인먼트,2018-08-01,"12,276,230",영화진흥위원회 발권통계 기준
14,《택시운전사》,장훈,쇼박스,2017-08-02,"12,189,436",영화진흥위원회 발권통계 기준
15,《부산행》,연상호,넥스트엔터테인먼트월드,2016-07-20,"11,567,455",영화진흥위원회 발권통계 기준
16,《변호인》,양우석,넥스트엔터테인먼트월드,2013-12-18,"11,374,892",영화진흥위원회 발권통계 기준
17,《해운대》,윤제균,CJ엔터테인먼트,2009-07-22,"11,324,850",영화진흥위원회 공식통계 기준
18,《어벤져스: 인피니티 워》,루소 형제,월트디즈니컴퍼니코리아,2018-04-25,"11,212,710",영화진흥위원회 발권통계 기준
19,《괴물》,봉준호,쇼박스,2006-07-27,"10,917,400",영화진흥위원회 공식통계 기준
20,《왕의 남자》,이준익,시네마서비스,2005-12-29,"10,513,947",영화진흥위원회 공식통계 기준
21,《어벤져스: 에이지 오브 울트론》,조스 휘던,월트디즈니컴퍼니코리아,2015-04-23,"10,494,840",영화진흥위원회 발권통계 기준
22,《인터스텔라》,크리스토퍼 놀런,워너브라더스코리아,2014-11-06,"10,309,432",영화진흥위원회 발권통계 기준
23,《겨울왕국》,"크리스 벅, 제니퍼 리",월트디즈니컴퍼니코리아,2014-01-16,"10,296,101",영화진흥위원회 발권통계 기준
24,《기생충》,봉준호,CJ엔터테인먼트,2019-05-30,"10,083,172",영화진흥위원회 발권통계 기준
25,《보헤미안 랩소디》,브라이언 싱어,이십세기폭스코리아,2018-10-31,"9,948,386",영화진흥위원회 발권통계 기준
26,《검사외전》,이일형,쇼박스,2016-02-03,"9,707,581",영화진흥위원회 발권통계 기준
27,《엑시트》,이상근,CJ E&M,2019-07-31,"9,414,388",영화진흥위원회 발권통계 기준
28,《설국열차》,봉준호,CJ E&M,2013-08-01,"9,352,488",영화진흥위원회 발권통계 기준
29,《내부자들》,우민호,쇼박스,2015-11-19,"9,156,848","영화진흥위원회 발권통계 기준, 확장판 합산"
30,《관상》,한재림,쇼박스,2013-09-11,"9,135,806",영화진흥위원회 발권통계 기준
31,《아이언맨 3》,셰인 블랙,월트디즈니컴퍼니코리아,2013-04-25,"9,001,679",영화진흥위원회 발권통계 기준
32,《캡틴 아메리카: 시빌 워》,루소 형제,월트디즈니컴퍼니코리아,2016-04-27,"8,678,117",영화진흥위원회 발권통계 기준
33,《해적: 바다로 간 산적》,이석훈,롯데엔터테인먼트,2014-08-06,"8,666,208",영화진흥위원회 발권통계 기준
34,《수상한 그녀》,황동혁,CJ E&M,2014-01-22,"8,660,256",영화진흥위원회 발권통계 기준
35,《과속스캔들》,강형철,롯데엔터테인먼트,2008-12-03,"8,223,342",영화진흥위원회 공식통계 기준
36,《국가대표》,김용화,쇼박스,2009-07-29,"8,035,181",영화진흥위원회 공식통계 기준
37,《스파이더맨: 파 프롬 홈》,존 와츠,소니 픽처스 엔터테인먼트 코리아,2019-07-02,"8,021,290",영화진흥위원회 발권통계 기준
38,《디워》,심형래,쇼박스,2007-08-01,"7,855,474",영화진흥위원회 공식통계 기준
39,《공조》,김성훈,CJ E&M,2017-01-18,"7,817,654",영화진흥위원회 발권통계 기준
40,《트랜스포머 3》,마이클 베이,CJ E&M,2011-06-29,"7,785,189",영화진흥위원회 발권통계 기준
41,《히말라야》,이석훈,CJ E&M,2015-12-16,"7,759,761",영화진흥위원회 발권통계 기준
42,《미션 임파서블: 고스트 프로토콜》,브래드 버드,CJ E&M,2011-12-15,"7,508,976",영화진흥위원회 발권통계 기준
43,《밀정》,김지운,워너브라더스코리아,2016-09-07,"7,500,457",영화진흥위원회 발권통계 기준
44,《최종병기 활》,김한민,롯데엔터테인먼트,2011-08-10,"7,470,633",영화진흥위원회 발권통계 기준
45,《트랜스포머》,마이클 베이,CJ엔터테인먼트,2007-06-28,"7,402,732",영화진흥위원회 공식통계 기준
46,《트랜스포머: 패자의 역습》,마이클 베이,CJ엔터테인먼트,2009-06-24,"7,393,443",영화진흥위원회 공식통계 기준
47,《써니》,강형철,CJ E&M,2011-05-04,"7,363,139",영화진흥위원회 발권통계 기준
48,《스파이더맨: 홈커밍》,존 와츠,소니 픽처스 엔터테인먼트 코리아,2017-07-05,"7,258,678",영화진흥위원회 발권통계 기준
49,《1987》,장준환,CJ E&M,2017-12-27,"7,232,387",영화진흥위원회 발권통계 기준
50,《베를린》,류승완,CJ E&M,2013-01-30,"7,166,688",영화진흥위원회 발권통계 기준
51,《마스터》,조의석,CJ E&M,2016-12-21,"7,150,586",영화진흥위원회 발권통계 기준
52,《터널》,김성훈,쇼박스,2016-08-10,"7,120,780",영화진흥위원회 발권통계 기준
53,《어벤져스》,조스 휘던,월트디즈니컴퍼니코리아,2012-04-26,"7,075,607",영화진흥위원회 발권통계 기준
